date,stock,gold
2011-08-10,4738.39,361.78
2011-08-11,4829.964,367.43
2011-08-12,4875.444,362.99
2011-08-15,4937.461,360.27
2011-08-16,4899.27,366.46
2011-08-17,4887.612,369.31
2011-08-18,4807.175,370.38
2011-08-19,4776.543,383.8
2011-08-22,4728.483,392.38
2011-08-23,4783.09,391.69
2011-08-24,4774.899,380.9
2011-08-25,4890.567,363.51
2011-08-26,4866.998,367.8
2011-08-29,4810.939,376.79
2011-08-30,4778.365,372.3
2011-08-31,4763.201,380.19
2011-09-01,4732.64,376.35
2011-09-02,4679.061,381.24
2011-09-05,4595.323,390.6
2011-09-06,4563.422,395.25
2011-09-07,4649.246,378.7
2011-09-08,4634.068,382.0
2011-09-09,4618.222,388.31
2011-09-13,4580.857,378.59
2011-09-14,4601.861,378.33
2011-09-15,4590.912,375.54
2011-09-16,4591.289,365.91
2011-09-19,4512.563,377.95
2011-09-20,4537.651,368.8
2011-09-21,4655.614,375.2
2011-09-22,4538.492,367.01
2011-09-23,4495.463,361.24
2011-09-26,4438.747,341.94
2011-09-27,4479.11,341.44
2011-09-28,4437.858,341.25
2011-09-29,4382.649,335.09
2011-09-30,4380.408,338.39
2011-10-10,4366.942,341.63
2011-10-11,4354.925,345.93
2011-10-12,4482.676,346.83
2011-10-13,4514.904,346.42
2011-10-14,4497.369,346.09
2011-10-17,4527.56,347.35
2011-10-18,4433.834,343.01
2011-10-19,4398.508,340.52
2011-10-20,4290.05,333.28
2011-10-21,4276.746,335.25
2011-10-24,4367.769,341.7
2011-10-25,4458.724,341.1
2011-10-26,4498.82,354.14
2011-10-27,4508.976,355.44
2011-10-28,4586.775,357.93
2011-10-31,4576.123,352.62
2011-11-01,4586.389,352.66
2011-11-02,4643.075,355.8
2011-11-03,4654.752,355.98
2011-11-04,4672.823,362.03
2011-11-07,4667.352,364.6
2011-11-08,4643.946,368.18
2011-11-09,4677.565,367.02
2011-11-10,4617.891,360.15
2011-11-11,4598.388,362.9
2011-11-14,4699.796,367.36
2011-11-15,4693.241,363.53
2011-11-16,4605.284,362.82
2011-11-17,4611.873,362.88
2011-11-18,4550.088,353.56
2011-11-21,4572.244,353.71
2011-11-22,4563.202,346.59
2011-11-23,4547.705,351.0
2011-11-24,4569.645,348.8
2011-11-25,4530.139,346.5
2011-11-28,4562.21,351.26
2011-11-29,4609.694,352.63
2011-11-30,4479.86,353.2
2011-12-01,4564.383,359.0
2011-12-02,4515.124,359.06
2011-12-05,4439.789,358.96
2011-12-06,4431.237,352.75
2011-12-07,4436.556,356.23
2011-12-08,4428.701,357.88
2011-12-09,4394.382,351.35
2011-12-12,4360.702,346.96
