date,open,high,low,close,volume,amount
2013-12-04,2406.24,2445.2,2400.6,2431.09,34807877.0,29000179456.0
2013-12-05,2431.03,2436.71,2415.84,2423.7,23202611.0,20229387520.0
2013-12-06,2419.66,2423.82,2398.9,2409.67,21330796.0,19009510400.0
2013-12-09,2414.38,2422.67,2401.8,2403.98,18745385.0,16767860224.0
2013-12-10,2409.66,2419.34,2400.22,2408.32,19467380.0,17099952128.0
2013-12-11,2397.72,2398.09,2355.81,2364.87,23529699.0,19852564992.0
2013-12-12,2358.97,2370.81,2354.02,2356.75,16466466.0,13581553664.0
2013-12-13,2338.51,2357.42,2334.33,2345.69,17583410.0,14028214272.0
2013-12-16,2347.47,2350.62,2316.81,2324.41,18799603.0,14738832896.0
2013-12-17,2323.8,2329.77,2308.54,2311.25,14503357.0,10791035392.0
2013-12-18,2311.01,2320.0,2302.69,2309.8,12517094.0,9556616448.0
2013-12-19,2316.51,2324.31,2288.41,2290.56,15353035.0,11347338752.0
2013-12-20,2291.26,2294.11,2246.51,2249.01,22144189.0,15199556864.0
2013-12-23,2254.14,2261.47,2228.5,2250.55,13756383.0,10053630464.0
2013-12-24,2256.95,2279.11,2241.05,2259.25,14826641.0,11043476992.0
2013-12-25,2261.15,2273.49,2254.05,2273.16,12512794.0,10030439424.0
2013-12-26,2268.4,2268.69,2226.15,2227.46,15816425.0,11822714880.0
2013-12-27,2228.18,2270.89,2224.19,2263.49,16853766.0,12943094016.0
2013-12-30,2273.56,2277.85,2252.24,2254.5,15987951.0,12050682880.0
2013-12-31,2245.01,2275.69,2241.53,2273.68,19946073.0,16363496960.0
2014-01-02,2267.85,2270.7,2258.46,2270.2,13871908.0,10641868544.0
2014-01-03,2260.7,2264.04,2237.19,2241.65,17122407.0,12770957312.0
2014-01-06,2240.67,2240.67,2187.46,2189.62,20995565.0,14607185664.0
2014-01-07,2177.76,2200.03,2172.59,2190.44,14061158.0,10070152448.0
2014-01-08,2191.88,2204.98,2177.01,2183.66,15604179.0,10992701696.0
2014-01-09,2178.39,2193.04,2157.25,2159.87,15274914.0,11114380800.0
2014-01-10,2153.34,2157.07,2131.77,2139.32,14378020.0,9856632576.0
2014-01-13,2139.94,2156.01,2124.74,2135.31,12303168.0,8685671168.0
2014-01-14,2135.43,2163.6,2126.99,2163.46,12707847.0,8887614464.0
2014-01-15,2161.53,2166.89,2148.21,2159.0,11935299.0,8616672768.0
2014-01-16,2159.37,2177.49,2151.78,2166.07,13757887.0,9775747072.0
2014-01-17,2159.14,2159.61,2139.37,2144.96,14730722.0,10104619520.0
2014-01-20,2141.09,2148.25,2127.35,2134.88,10804244.0,7561020416.0
2014-01-21,2136.63,2159.53,2136.63,2155.97,11180130.0,8222809856.0
2014-01-22,2159.01,2205.22,2158.11,2205.19,18597797.0,13066014208.0
2014-01-23,2204.01,2206.83,2193.72,2197.73,14999478.0,11445683200.0
2014-01-24,2196.19,2227.27,2192.94,2215.62,15786604.0,11982121728.0
2014-01-27,2207.38,2209.26,2193.68,2196.82,15992724.0,12083721984.0
2014-01-28,2199.34,2215.55,2192.27,2205.05,13724493.0,10353910784.0
2014-01-29,2210.15,2230.7,2208.43,2226.97,14817767.0,11527063296.0
2014-01-30,2221.76,2223.28,2206.81,2208.28,10530349.0,8168819200.0
2014-02-07,2199.11,2231.62,2190.87,2231.44,12141336.0,9537032448.0
