w_stock,w_bond,w_gold,w_cash,entry_count,mean_return,median_return,mean_cagr,median_cagr,cagr_p10,cagr_p90,std_return,mean_maxdd,worst_maxdd,mean_sharpe,mean_calmar,best_return,worst_return,all_positive,positive_rate,win_rate_1m,win_rate_3m,win_rate_6m,win_rate_12m,win_rate_24m,version,version_label
0.45,0.1,0.4,0.05,4203,1.165247713951952,1.0758501800549831,0.0972390735754267,0.0937246341704127,0.0715377815728124,0.15970442414386,0.6797670273088141,0.1579933004046898,0.2322186520712853,1.164947831717228,0.6154632717106047,3.659007520022083,-0.0797682963811775,0,0.9783487984772782,0.9832615973218556,0.9927536231884058,0.9995094432180524,1.0,1.0,hongli_lowvol,红利低波
0.5000000000000001,0.05,0.4,0.05,4203,1.1936629467721922,1.081681913246221,0.0979935424990953,0.0952204539893726,0.0725868620095384,0.1604754670520691,0.7110913996165802,0.1674301483428055,0.2545671374728998,1.158064563009742,0.5852801509705293,3.8774061374658233,-0.0804272647507327,0,0.9776350226029028,0.982544237207078,0.9920289855072464,0.9995094432180524,1.0,1.0,hongli_lowvol,红利低波
0.2,0.2,0.3,0.3,5897,1.5685085097695393,1.240403170919549,0.08103831099828,0.0748363696354852,0.0644378945011804,0.13814547332381,1.1703926731398804,0.1319487024014358,0.1508656966614532,1.2738888674404962,0.6141652742573555,4.633772611272217,-0.045301387214652,0,0.9850771578768864,0.9885976855003404,0.993657867672266,1.0,1.0,1.0,sp500,标普500
0.25,0.2,0.25,0.3,5897,1.5994284597530837,1.2749052999904609,0.0819560428185811,0.0749229368177082,0.068103641474286,0.1346152277867094,1.1695147125470986,0.1344603031278947,0.1533629149656378,1.3969085586647605,0.6095185040645558,4.584611156632352,-0.032435880700992,0,0.9866033576394776,0.9901293396868618,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
0.3,0.2,0.2,0.3,5897,1.7081738246698863,1.3837444333266853,0.0847056930356843,0.077465988057864,0.0729194470260121,0.1303616940636421,1.233199557482222,0.1394023667742693,0.1607190621652499,1.579216924484392,0.6076345401857213,4.801365157230535,-0.0196749747966407,0,0.988977446159064,0.9925119128658952,0.9955433664724032,1.0,1.0,1.0,sp500,标普500
0.2,0.2,0.35,0.25,5897,1.7373542215928928,1.3422611685734194,0.0870980287123531,0.0798387278989389,0.0673402501416253,0.1525468638088928,1.3194259947573082,0.1425144028514225,0.166596586720291,1.265256650250854,0.6111524657838028,5.283106234060113,-0.0546060134248154,0,0.9843988468712904,0.9879169503063308,0.9934864586904354,1.0,1.0,1.0,sp500,标普500
0.2,0.15,0.35,0.3,5897,1.726729900231216,1.3663553072485404,0.0880048243250804,0.0792164200360476,0.0673716338316335,0.1544882501391772,1.27562644361552,0.1330309861154424,0.1667330728184772,1.2796413865843668,0.6615362848525466,5.143093933783,-0.0523570084760747,0,0.9845684246226896,0.9880871341048332,0.9934864586904354,1.0,1.0,1.0,sp500,标普500
0.25,0.15,0.3,0.3,5897,1.7693604935534548,1.4251507033329252,0.08894401988933,0.0796958229427222,0.0712184485662807,0.1502607289143659,1.289512863837479,0.1319875293303759,0.1693201434634762,1.3984074179986663,0.6738819973415495,5.14503607286757,-0.0394915019624126,0,0.9855858911310836,0.9891082368958476,0.9940006856359274,1.0,1.0,1.0,sp500,标普500
0.3,0.2,0.25,0.25,5897,1.881851391521116,1.5111106992967525,0.0906151782253833,0.0821226939652395,0.076312538367522,0.1439467231460556,1.3809505183870163,0.147051702001626,0.1739322589565406,1.5501288481328312,0.6162130529055783,5.435672893617806,-0.0288750003974942,0,0.9871120908936748,0.9906398910823688,0.9950291395269112,1.0,1.0,1.0,sp500,标普500
0.2,0.15,0.4,0.25,5897,1.8819188449986557,1.4781798834730535,0.0938746601765638,0.0832871611250047,0.0701156856486037,0.1691034715757999,1.399637663181794,0.1445863840065827,0.1818640134409958,1.2636883152042515,0.649263489239,5.719497936548579,-0.0616616346862379,0,0.9838901136170934,0.9874063989108236,0.9933150497086048,1.0,1.0,1.0,sp500,标普500
0.2,0.1,0.4,0.3,5897,1.8741119263405936,1.504560534782842,0.0948638309238527,0.0827724810806602,0.0704597477740793,0.171267493058851,1.3564153411923996,0.1355636505050294,0.1824244324087681,1.275821394663273,0.6997733579056523,5.578548526397679,-0.0599476459320564,0,0.9843988468712904,0.9879169503063308,0.9934864586904354,1.0,1.0,1.0,sp500,标普500
0.25,0.1,0.35,0.3,5897,1.92939502068452,1.571623847699794,0.0957189194290037,0.0839542509303588,0.0742173266586888,0.1663532559275147,1.3932140106604922,0.132793770402982,0.1850760039130813,1.3879992207224938,0.7208088085648205,5.663216265377458,-0.0475070277598093,0,0.9850771578768864,0.9885976855003404,0.993657867672266,1.0,1.0,1.0,sp500,标普500
0.3,0.2,0.3,0.2,5897,2.063463058300742,1.6472601945641232,0.0964433346710259,0.0870696133427415,0.0793436442470604,0.157923402890415,1.5413547486797865,0.1549868505745534,0.1864822186323471,1.5200941772062468,0.6222678524887743,6.128812827342236,-0.038179626607657,0,0.9866033576394776,0.9901293396868618,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
